,location,country_code,latitude,longitude,confirmed,dead,recovered,updated
7430,Guabiju,br,-28.5419309,-51.690655,0,0.0,,2020-05-19 19:47:55.307691+00:00
7431,Fronteiras,br,-7.088487199999999,-40.6151144,4,0.0,,2020-05-19 19:47:54.775767+00:00
7432,"Martin County, Kentucky",us,37.7833756,-82.5185837,3,0.0,,2020-05-19 19:45:20.115934+00:00
7433,Corumbaíba,br,-18.1395882,-48.5605834,1,0.0,,2020-05-19 19:47:51.903899+00:00
7434,Getulina,br,-21.799335,-49.9302119,1,0.0,,2020-05-19 19:47:54.946090+00:00
7435,Huangshan,cn,29.714699,118.337521,9,0.0,9.0,2020-05-19 19:48:18.919922+00:00
7436,Oryol Oblast,ru,52.7856414,36.9242344,1549,10.0,524.0,2020-05-19 19:48:35.566651+00:00
7437,Umm Aldoom,sa,22.6212359,41.3510866,1,0.0,1.0,2020-05-10 16:49:37.027489+00:00
7438,Estação,br,-22.9373856,-47.07708359999999,3,0.0,,2020-05-19 19:47:53.612229+00:00
7439,"Mason County, Kentucky",us,38.6194103,-83.8897057,8,0.0,,2020-05-19 19:45:20.115934+00:00
7440,"Leelanau County, Michigan",us,45.0821226,-86.07336339999999,10,0.0,,2020-05-19 19:45:20.115934+00:00
7441,Gália,br,-22.2923948,-49.5509771,0,0.0,,2020-05-19 19:47:55.719980+00:00
7442,Imigrante,br,-29.3546049,-51.7745638,8,0.0,,2020-05-19 19:47:56.332246+00:00
7443,"Washington County, Oklahoma",us,36.6770984,-95.94097099999999,303,30.0,,2020-05-19 19:45:20.115934+00:00
7444,Vargem Grande Paulista,br,-23.5998205,-47.02245569999999,29,4.0,,2020-05-19 19:48:14.000808+00:00
7445,"Roseau County, Minnesota",us,48.7249475,-95.9820524,1,0.0,,2020-05-19 19:45:20.115934+00:00
7446,Quintana Roo,mx,19.1817393,-88.4791376,1257,234.0,819.0,2020-05-19 19:46:51.681236+00:00
7447,Mostaganem,dz,36.01312350000001,0.1401381,62,62.0,3.0,2020-05-19 19:46:52.738589+00:00
7448,Doutor Ricardo,br,-29.08822349999999,-51.9896282,2,0.0,,2020-05-19 19:47:53.136503+00:00
7449,Urk,nl,52.66305329999999,5.598946499999999,22,,,2020-05-19 19:46:57.319844+00:00
7450,Joca Claudino,br,-6.4843509,-38.4794135,1,0.0,,2020-05-19 19:47:58.494024+00:00
7451,Yazd,ir,31.8974232,54.3568562,725,,,2020-05-19 19:48:40.938418+00:00
7452,Lagoa Vermelha,br,-28.2095885,-51.5298145,4,0.0,,2020-05-19 19:47:58.916960+00:00
7453,Abelardo Luz,br,-26.5663845,-52.3275994,2,0.0,,2020-05-19 19:47:41.383826+00:00
7454,Donetsk Oblast,ua,48.015883,37.80285,131,4.0,42.0,2020-05-19 19:48:36.814075+00:00
7455,Mogi Mirim,br,-22.4231568,-46.9582504,8,0.0,,2020-05-19 19:48:00.872286+00:00
7456,Nova Fátima,br,-23.4331955,-50.563342,1,0.0,,2020-05-19 19:48:02.120316+00:00
7457,Porto do Mangue,br,-5.0682266,-36.77994140000001,2,0.0,,2020-05-19 19:48:05.834337+00:00
7458,Cotriguaçu,br,-9.9023158,-58.56839650000001,1,0.0,,2020-05-19 19:47:51.967916+00:00
7459,Arari,br,-3.4569248,-44.7768306,37,1.0,,2020-05-19 19:47:43.511215+00:00
7460,Kocaeli,tr,40.8532704,29.8815203,410,8.0,,2020-05-11 18:20:32.328232+00:00
7461,Cláudio,br,-20.4438418,-44.7653198,3,0.0,,2020-05-19 19:47:51.339454+00:00
7462,Coronel Freitas,br,-26.9061983,-52.7016308,1,0.0,,2020-05-19 19:47:51.855347+00:00
7463,Kütahya,tr,39.4199547,29.985732,5,,,2020-05-11 18:20:32.366072+00:00
7464,"Stanton County, Kansas",us,37.6390381,-101.7979613,9,0.0,0.0,2020-05-18 19:46:28.987306+00:00
7465,Frederico Westphalen,br,-27.3607338,-53.3963199,10,1.0,,2020-05-19 19:47:54.747419+00:00
7466,Pedras de Fogo,br,-7.400925300000001,-35.1117491,68,3.0,,2020-05-19 19:48:04.577437+00:00
7467,São Lourenço do Sul,br,-31.3587247,-51.9863149,5,0.0,,2020-05-19 19:48:11.574859+00:00
7468,"Howard County, Indiana",us,40.4482767,-86.1344697,299,13.0,,2020-05-18 19:45:24.591927+00:00
7469,"Charlevoix County, Michigan",us,45.4342853,-85.4374778,14,1.0,,2020-05-19 19:45:20.115934+00:00
